rank,lemma,subtitle_count,band,n_forms_seen
1003,vstávať,3949,3,9
1004,fbi,3939,3,1
1005,video,3932,3,6
1006,vysoká,3931,3,5
1007,padať,3923,3,13
1008,farba,3920,3,8
1009,žartovať,3919,3,10
1010,kráľovná,3916,3,5
1011,tamto,3903,3,3
1012,očividne,3887,3,1
1013,narodeniny,3881,3,4
1014,profesor,3878,3,6
1015,skrývať,3878,3,13
1016,predávať,3875,3,13
1017,napriek,3871,3,1
1018,využiť,3864,3,12
1019,pozornosť,3861,3,2
1020,sedem,3859,3,3
1021,plukovník,3847,3,4
1022,posadiť,3845,3,10
1023,obraz,3844,3,6
1024,mier,3842,3,3
1025,ochrániť,3842,3,12
1026,ľutovať,3831,3,11
1027,jazyk,3823,3,8
1028,záležitosť,3823,3,7
1029,opatrný,3820,3,7
1030,stávať,3818,3,11
1031,ponáhľať,3817,3,15
1032,klient,3816,3,8
1033,spôsobiť,3805,3,9
1034,týkať,3803,3,6
1035,james,3802,3,1
1036,niekam,3796,3,1
1037,prvýkrát,3784,3,1
1038,vtip,3782,3,7
1039,ben,3780,3,1
1040,centrum,3780,3,7
1041,víno,3779,3,5
1042,láskavosť,3777,3,3
1043,vhodný,3777,3,13
